longitude(double:m),	latitude(double:m),	heading(Azimuth),	speed(double:m/s)
71520,42270,90,10
71540,42270,90,10
71560,42270,90,10
71580,42270,90,10
71600,42270,90,10
71620,42270,90,10
71640,42270,90,10
71660,42270,90,10
71680,42270,90,10
71700,42270,90,10
71720,42270,90,10
71740,42270,90,10
71760,42270,90,10
71780,42270,90,10
71800,42270,90,10
71820,42270,90,10
71840,42270,90,10
71860,42270,90,10
71880,42270,90,10
71900,42270,90,10
71920,42270,90,10
71940,42270,90,10
71960,42270,90,10
71980,42270,90,10
72000,42270,90,10
72020,42270,90,10
72040,42270,90,10
72060,42270,90,10
72080,42270,90,10
72100,42270,90,10
72120,42270,90,10
72140,42270,90,10
72160,42270,90,10
72180,42270,90,10
72200,42270,90,10
72220,42270,90,10
72240,42270,90,10
72260,42270,90,10
72280,42270,90,10
72300,42270,90,10
72320,42270,90,10
72340,42270,90,10
72360,42270,90,10
72380,42270,90,10
72400,42270,90,10
72420,42270,90,10
72440,42270,90,10
72460,42270,90,10
72480,42270,90,10
72500,42270,90,10
72520,42270,90,10
72540,42270,90,10
72560,42270,90,10
72580,42270,90,10
72600,42270,90,10
72620,42270,90,10
72640,42270,90,10
72660,42270,90,10
72680,42270,90,10
72700,42270,90,10
72720,42270,90,10
72740,42270,90,10
72760,42270,90,10
72780,42270,90,10
72800,42270,90,10
72820,42270,90,10
72840,42270,90,10
72860,42270,90,10
72880,42270,90,10
72900,42270,90,10
72920,42270,90,10
72940,42270,90,10
72960,42270,90,10
72980,42270,90,10
73000,42270,90,10
73020,42270,90,10
73040,42270,90,10
73060,42270,90,10
73080,42270,90,8
73090,42270,90,5
73100,42270,90,0
73110,42270,90,0
