longitude(double:m),	latitude(double:m),	heading(Azimuth),	speed(double:m/s)
68500,40300,180,10
68500.0,40280.0,233.41,10
68483.9,40268.1,233.41,10
68467.8,40256.2,233.41,10
68451.7,40244.3,233.41,10
68435.6,40232.4,233.41,10
68419.5,40220.5,233.41,10
68403.4,40208.6,233.41,10
68387.3,40196.7,233.41,10
68371.2,40184.8,233.41,10
68355.1,40172.9,233.41,10
68339.0,40161.0,233.41,10
68322.9,40149.1,233.41,10
68306.8,40137.2,233.41,10
68290.7,40125.3,233.41,10
68274.6,40113.4,233.41,10
68258.5,40101.5,233.41,10
68242.4,40089.6,233.41,10
68226.3,40077.7,233.41,10
68210.2,40065.8,233.41,10
68194.1,40053.9,233.41,10
68178.0,40042.0,233.41,10
68161.9,40030.1,233.41,10
68145.8,40018.2,233.41,10
68129.7,40006.3,233.41,10
68113.6,39994.4,233.41,10
68097.5,39982.5,233.41,10
68081.4,39970.6,233.41,10
68065.3,39958.7,233.41,10
68049.2,39946.8,233.41,10
68033.1,39934.9,233.41,10
68017.0,39923.0,233.41,10
68000.9,39911.1,233.41,10
67984.8,39899.2,233.41,10
67968.7,39887.3,233.41,10
67952.6,39875.4,233.41,10
67936.5,39863.5,233.41,10
67920.4,39851.6,233.41,10
67904.3,39839.7,233.41,10
67888.2,39827.8,233.41,10
67872.1,39815.9,233.41,10
67856.0,39804.0,233.41,10
67839.9,39792.1,233.41,10
67823.8,39780.2,233.41,10
67807.7,39768.3,233.41,10
67791.6,39756.4,233.41,10
67775.5,39744.5,233.41,10
67759.4,39732.6,233.41,10
67743.3,39720.7,233.41,10
67727.2,39708.8,233.41,10
67711.1,39696.9,233.41,10
67695.0,39685.0,233.41,10
67678.9,39673.1,233.41,10
67662.8,39661.2,233.41,10
67646.7,39649.3,233.41,10
67630.6,39637.4,233.41,10
67614.5,39625.5,233.41,10
67598.4,39613.6,233.41,10
67582.3,39601.7,233.41,10
67566.2,39589.8,233.41,10
67550.1,39577.9,233.41,10
67534.0,39566.0,233.41,10
67517.9,39554.1,233.41,10
67501.8,39542.2,233.41,10
67485.7,39530.3,233.41,10
67469.6,39518.4,233.41,10
67453.5,39506.5,233.41,10
67437.4,39494.6,233.41,10
67421.3,39482.7,233.41,10
67405.2,39470.8,233.41,10
67389.1,39458.9,233.41,10
67373.0,39447.0,233.41,10
67356.9,39435.1,233.41,10
67340.8,39423.2,233.41,10
67324.7,39411.3,233.41,10
67308.6,39399.4,233.41,10
67292.5,39387.5,233.41,10
67276.4,39375.6,233.41,10
67260.3,39363.7,233.41,10
67244.2,39351.8,233.41,10
67228.1,39339.9,233.41,10
67212.0,39328.0,233.41,8
67195.9,39316.1,233.41,3
67179.8,39304.2,233.41,0
